id,name,smiles
AAAUum,hydrogen (normal),[HH]
AAAomx,helium,[He]
AADEIK,methane,C
AADOkx,ammonia,N
AADYJk,water,O
AADsDh,hydrogen fluoride,F
AADsNy,water-d2,[2H]O[2H]
AAEzeI,lithium fluoride,[F-].[Li+]
AAFAlr,ethyne,C#C
AAFUDX,ethene,C=C
AAFUGe,carbon monoxide,[C-]#[O+]
AAFUUt,nitrogen,N#N
AAFoQj,methanal,C=O
AAFoTP,ethane,CC
AAFofa,nitrogen oxide (NO),[N]=O
AAGHwD,oxygen,O=O
AAGIBL,methanol,CO
AAGIeF,sulfur,S1SSSSSSS1
AAGIvQ,hydrazine,NN
AAGcjK,hydrogen sulfide,S
AAGctM,fluoromethane,CF
AAGmSK,ammonium hydroxide,[NH4+].[OH-]
AAHAMB,hydrogen chloride,Cl
AAHGiC,ammonium fluoride,[F-].[NH4+]
AAHjTe,sodium hydroxide,[Na+].[OH-]
AAHjgL,argon,[Ar]
AAHueB,acetonitrile,CC#N
AAIDee,sodium fluoride,[F-].[Na+]
AAIEPw,propene,C=CC
AAIEzN,cyclopropane,C1CC1
AAIHRm,lithium chloride,[Cl-].[Li+]
AAIYNc,nitrous oxide,N#[N+][O-]
AAIYRU,propane,CCC
AAIYxX,ethanal,CC=O
AAIYzl,carbon dioxide,O=C=O
AAIiSH,ethylamine,CCN
AAIiso,formamide,NC=O
AAIscx,dimethyl ether,COC
AAIsrh,ethanol,CCO
AAIsyZ,formic acid,O=CO
AAIszv,fluoroethene,C=CF
AAJCDH,ethanol-O-d,C(C)O[2H]
AAJCnS,beryllium difluoride,F[Be]F
AAJMQK,fluoroethane,CCF
AAJNcO,methanethiol,CS
AAKALl,difluoromethane,FCF
AAKKVZ,acrylonitrile,C=CC#N
AAKOQZ,ammonium chloride (NH4Cl),[Cl-].[NH4+]
AAKUVL,"1,3-butadiene",C=CC=C
AAKeXb,propanenitrile,CCC#N
AAKpCk,(E)-2-butene,C/C=C/C
AAKpGu,1-butene,C=CCC
AAKpKh,potassium hydroxide,[K+].[OH-]
AAKpga,(Z)-2-butene,C/C=C\C
AAKpnF,2-methylpropene,C=C(C)C
AALIDN,2-propenol,C=CCO
AALIPU,acetone,CC(C)=O
AALIRY,methyloxirane,CC1CO1
AALIno,propanal,CCC=O
AALIst,potassium fluoride,[F-].[K+]
AALJBC,2-methylpropane,CC(C)C
AALJjh,butane,CCCC
AALMbY,sodium chloride,[Cl-].[Na+]
AALSNt,ethanamide,CC(N)=O
AALSTB,N-methylformamide,CNC=O
AALTAi,propan-1-amine,CCCN
AALcAl,acetic acid,CC(=O)O
AALcLI,propan-1-ol,CCCO
AALcjF,urea,NC(N)=O
AALcpn,methyl methanoate,COC=O
AALcwx,propan-2-ol,CC(C)O
AALcwz,carbonyl sulfide,O=C=S
AALmBl,2-aminoethan-1-ol,NCCO
AALmzw,nitromethane,C[N+](=O)[O-]
AALwIY,"1,2-ethanediol",OCCO
AAMAmS,chloroethene,C=CCl
AAMGGZ,nitric acid,O=[N+]([O-])O
AAMQhv,sulfur dioxide,O=S=O
AAMkhx,"1,1-difluoroethane",CC(F)F
AAMuTE,pyrrole,c1cc[nH]c1
AANEKC,sodium methanoate,O=C[O-].[Na+]
AANEMR,furan,c1ccoc1
AANEpq,1H-imidazole,c1c[nH]cn1
AANFBu,cyclopentene,C1=CCCC1
AANFsr,1-pentyne,C#CCCC
AANFtX,"2-methyl-1,3-butadiene",C=CC(=C)C
AANNYY,lithium nitrate,O=[N+]([O-])[O-].[Li+]
AANOKe,"1H-1,2,4-triazole",c1nc[nH]n1
AANPWF,butanenitrile,CCCC#N
AANYCx,1H-tetrazole,c1nnn[nH]1
AANYhw,trifluoromethane,FC(F)F
AANYvX,2-methyl-2-propenal,C=C(C)C=O
AANZGY,1-pentene,C=CCCC
AANZcM,2-methyl-1-butene,C=C(C)CC
AANZhJ,cyclopentane,C1CCCC1
AANsXd,propenoic acid,C=CC(=O)O
AANtJl,"2,2-dimethyloxirane",CC1(C)CO1
AANtYy,pentane,CCCCC
AANtbF,ethyloxirane,CCC1CO1
AANtck,butanone,CCC(C)=O
AANtnH,butanal,CCCC=O
AANtst,tetrahydrofuran,C1CCOC1
AAOCDM,N-methylacetamide,CNC(C)=O
AAOCUX,N-ethylformamide,CCNC=O
AAOCWD,dimethylformamide,CN(C)C=O
AAODWt,1-butanamine,CCCCN
AAOMHN,methyl ethanoate,COC(C)=O
AAOMRa,propanoic acid,CCC(=O)O
AAOMVC,ethyl methanoate,CCOC=O
AAOMat,"1,3-dioxolane",C1COCO1
AAOMbF,acetol,CC(=O)CO
AAONJg,2-methylpropan-2-ol,CC(C)(C)O
AAONLE,butan-2-ol,CCC(C)O
AAONVE,butan-1-ol,CCCCO
AAONav,diethyl ether,CCOCC
AAONwS,2-methyl-1-propanol,CC(C)CO
AAORlg,potassium chloride,[Cl-].[K+]
AAOWgA,2-aminoacetic acid,NCC(=O)O
AAOXUk,2-(methylamino)ethanol,CNCCO
AAOXXo,n-butan(ol-d),[2H]OCCCC
AAOXYd,tert-butan(ol-d),[2H]OC(C)(C)C
AAOXbF,3-amino-1-propanol,NCCCO
AAOXpx,isobutyl-2-d alcohol,C(C(C)(C))O[2H]
AAOXxy,2-butanol (d),[2H]OC(C)CC
AAOgLD,"propan-1,3-diol",OCCCO
AAOgbS,"1,2-propanediol",CC(O)CO
AAOgrx,2-hydroxyethanoic acid,O=C(O)CO
AAOgvx,2-methoxyethan-1-ol,COCCO
AAOhEc,ammonium isothiocyanate,[N-]=C=S.[NH4+]
AAOqAs,ammonium acetate,CC(=O)[O-].[NH4+]
AAOqBl,methanaminium formate,C[NH3+].O=C[O-]
AAPBFE,benzene,c1ccccc1
AAPByN,dimethyl sulfoxide,CS(C)=O
AAPFjV,1-chloropropane,CCCCl
AAPLMm,pyridine,c1ccncc1
AAPUKH,ammonium nitrate,O=[N+]([O-])[O-].[NH4+]
AAPVqN,"1,3-cyclohexadiene",C1=CCCC=C1
AAPZmG,1-chloro-2-hydroxyethane,OCCCl
AAPeZL,sodium thiocyanate,N#C[S-].[Na+]
AAPomr,sodium ethanoate,CC(=O)[O-].[Na+]
AAPowK,"2,2-difluoroethanol",OCC(F)F
AAPpAQ,cyclohexene,C1=CCCCC1
AAPpAw,2-methylfuran,Cc1ccco1
AAPpIc,4-methylimidazole,CC1=CN=CN1
AAPpak,1-methylimidazole,Cn1ccnc1
AAPpiB,2-methylimidazole,CC1=NC=CN1
AAPpqL,1-hexyne,C#CCCCC
AAQFfD,krypton,[Kr]
AAQIZu,"1,1,1-trifluoroethane",CC(F)(F)F
AAQJPN,cyclopentanone,O=C1CCCC1
AAQJQa,potassium formate,O=C[O-].[K+]
AAQJSl,thiophene,c1ccsc1
AAQJYG,hex-1-ene,C=CCCCC
AAQJbW,methylcyclopentane,CC1CCCC1
AAQJde,(E)-3-methyl-2-pentene,C/C=C(\C)CC
AAQJeB,benzene-d6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]
AAQJlb,cyclohexane,C1CCCCC1
AAQJqG,(E)-3-hexene,CC/C=C/CC
AAQJqX,(E)-4-methyl-2-pentene,C/C=C/C(C)C
AAQRGv,dichloromethane,ClCCl
AAQRpw,sodium nitrate,O=[N+]([O-])[O-].[Na+]
AAQTOi,"1,3-thiazole",c1cscn1
AAQTZI,2-pyrrolidinone,O=C1CCCN1
AAQcIw,methyl propenoate,C=CC(=O)OC
AAQcOE,vinyl acetate,C=COC(C)=O
AAQcgW,.gamma.-butyrolactone,O=C1CCCO1
